Tipo;Produto;Un. Med.;Operação;Est. Anterior;Qtd.;E/S;Est. Final;Usuário;Data e Hora;Observações
Produto;COCA-COLA ZERO 2L;UN;Saída;-4;-1;Saída;-5;Eduarda;15/10/2023 21:46;Venda de COCA-COLA ZERO 2L do pedido 73
Insumo;MUSSARELA;kg;Saída;3,221;-0,18;Saída;3,041;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;REQUEIJÃO CREMOSO;kg;Saída;3,561;-0,02;Saída;3,541;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;BACON;kg;Saída;3,48;-0,04;Saída;3,44;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;ORÉGANO;kg;Saída;0,008;-0,001;Saída;0,007;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;MOLHO TOMATE;kg;Saída;-4,62;-0,04;Saída;-4,66;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;MASSA PIZZA;kg;Saída;-26,455;-0,26;Saída;-26,715;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;SACO BOBINA;UN;Saída;-70;-1;Saída;-71;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;CAIXA GRANDE;UN;Saída;16,5;-1;Saída;15,5;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;OVO;UN;Saída;-33;-2;Saída;-35;Eduarda;15/10/2023 21:19;Venda de PIZZA BACON C/ OVOS GRANDE do pedido 77
Insumo;REQUEIJÃO CREMOSO;kg;Saída;3,611;-0,05;Saída;3,561;Eduarda;15/10/2023 21:11;Venda de complemento Adicional Catupiry do pedido 76
Insumo;MUSSARELA;kg;Saída;3,401;-0,18;Saída;3,221;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;PEPPERONI;kg;Saída;0,993;-0,05;Saída;0,943;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;ORÉGANO;kg;Saída;0,009;-0,001;Saída;0,008;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;MOLHO TOMATE;kg;Saída;-4,58;-0,04;Saída;-4,62;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;MASSA PIZZA;kg;Saída;-26,195;-0,26;Saída;-26,455;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;SACO BOBINA;UN;Saída;-69;-1;Saída;-70;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;CAIXA GRANDE;UN;Saída;17,5;-1;Saída;16,5;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;MUSSARELA;kg;Devolução;3,221;0,18;Entrada;3,401;Eduarda;15/10/2023 21:11;Alteração do item: 258
Insumo;PEPPERONI;kg;Devolução;0,943;0,05;Entrada;0,993;Eduarda;15/10/2023 21:11;Alteração do item: 258
Insumo;ORÉGANO;kg;Devolução;0,008;0,001;Entrada;0,009;Eduarda;15/10/2023 21:11;Alteração do item: 258
Insumo;MOLHO TOMATE;kg;Devolução;-4,62;0,04;Entrada;-4,58;Eduarda;15/10/2023 21:11;Alteração do item: 258
Insumo;MASSA PIZZA;kg;Devolução;-26,455;0,26;Entrada;-26,195;Eduarda;15/10/2023 21:11;Alteração do item: 258
Insumo;SACO BOBINA;UN;Devolução;-70;1;Entrada;-69;Eduarda;15/10/2023 21:11;Alteração do item: 258
Insumo;CAIXA GRANDE;UN;Devolução;16,5;1;Entrada;17,5;Eduarda;15/10/2023 21:11;Alteração do item: 258
Insumo;MUSSARELA;kg;Saída;3,401;-0,18;Saída;3,221;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;PEPPERONI;kg;Saída;0,993;-0,05;Saída;0,943;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;ORÉGANO;kg;Saída;0,009;-0,001;Saída;0,008;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;MOLHO TOMATE;kg;Saída;-4,58;-0,04;Saída;-4,62;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;MASSA PIZZA;kg;Saída;-26,195;-0,26;Saída;-26,455;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;SACO BOBINA;UN;Saída;-69;-1;Saída;-70;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;CAIXA GRANDE;UN;Saída;17,5;-1;Saída;16,5;Eduarda;15/10/2023 21:11;Venda de PIZZA PEPPERONI GRANDE do pedido 76
Insumo;MUSSARELA;kg;Saída;3,581;-0,18;Saída;3,401;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Insumo;CREAME CHEESE;kg;Saída;1,06;-0,08;Saída;0,98;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Insumo;ORÉGANO;kg;Saída;0,01;-0,001;Saída;0,009;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Insumo;MOLHO TOMATE;kg;Saída;-4,54;-0,04;Saída;-4,58;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Insumo;MASSA PIZZA;kg;Saída;-25,935;-0,26;Saída;-26,195;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Insumo;SACO BOBINA;UN;Saída;-68;-1;Saída;-69;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Insumo;CAIXA GRANDE;UN;Saída;18,5;-1;Saída;17,5;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Insumo;ALHO PORÓ;kg;Saída;-0,095;-0,03;Saída;-0,125;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Insumo;PIMENTA BIQUINHO;kg;Saída;-0,039;-0,006;Saída;-0,045;Eduarda;15/10/2023 21:11;Venda de PIZZA ALHO PORÓ GRANDE do pedido 76
Produto;GUARANÁ ANT. 1,5L;UN;Saída;1;-1;Saída;0;Eduarda;15/10/2023 21:10;Venda de GUARANÁ ANT. 1,5L do pedido 76
Produto;GUARANÁ MANT. 2L;UN;Saída;0;-1;Saída;-1;Eduarda;15/10/2023 19:18;Venda de GUARANÁ MANT. 2L do pedido 75
Insumo;MUSSARELA;kg;Saída;3,736;-0,155;Saída;3,581;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;AZEITONA PRETA;kg;Saída;0,145;-0,0075;Saída;0,1375;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;PRESUNTO;kg;Saída;-0,065;-0,025;Saída;-0,09;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;LINGUIÇA CALABRESA;kg;Saída;1,143;-0,03;Saída;1,113;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;CEBOLA ROXA;kg;Saída;0,174;-0,005;Saída;0,169;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;ORÉGANO;kg;Saída;0,0105;-0,0005;Saída;0,01;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;CEBOLA;kg;Saída;0,897;-0,0075;Saída;0,8895;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;PIMENTÃO;kg;Saída;0,207;-0,0075;Saída;0,1995;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;MOLHO TOMATE;kg;Saída;-4,495;-0,045;Saída;-4,54;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;MASSA PIZZA;kg;Saída;-25,715;-0,22;Saída;-25,935;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;SACO BOBINA;UN;Saída;-67,5;-0,5;Saída;-68;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;CAIXA GIGANTE;UN;Saída;12;-0,5;Saída;11,5;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;OVO;UN;Saída;-32;-1;Saída;-33;Eduarda;15/10/2023 19:15;Venda de 1/2 PORTUGUESA do pedido 75
Insumo;MUSSARELA;kg;Saída;3,891;-0,155;Saída;3,736;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
Insumo;LINGUIÇA CALABRESA;kg;Saída;1,258;-0,115;Saída;1,143;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
Insumo;CEBOLA ROXA;kg;Saída;0,1755;-0,0015;Saída;0,174;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
Insumo;ORÉGANO;kg;Saída;0,011;-0,0005;Saída;0,0105;Eduarda;15/10/2023 19:15;Venda de 1/2 CALABRESA do pedido 75
